model_tag,model,parameters_b,probe,probe_label,attempts,clean_reviews,reviews_with_error,substantive_refusals,structured_failures,scored_reviews,mean_e1,mean_e2,mean_e3,mean_e4,mean_e5,mean_words,sd_words,archived_mean_words,word_metric_basis,raw_reviews_for_words,reference_headings_removed,mean_documents,mean_citations
qwen3:4b,Qwen 3 4B,4.0,wordsalad,Word salad,20,0,0,20,0,0,0,0,0,0,0,0,0,0,archived_aggregate_raw_text_unavailable,0,,0,0
qwen3:4b,Qwen 3 4B,4.0,far,Far-domain physics,20,0,0,20,0,0,0,0,0,0,0,0,0,0,archived_aggregate_raw_text_unavailable,0,,0,0
qwen3:4b,Qwen 3 4B,4.0,mid,Literary modernism,20,0,0,20,0,0,0,0,0,0,0,0,0,0,archived_aggregate_raw_text_unavailable,0,,0,0
qwen3:4b,Qwen 3 4B,4.0,near,Soviet-planning near miss,20,0,0,20,0,0,0,0,0,0,0,0,0,0,archived_aggregate_raw_text_unavailable,0,,0,0
qwen3:8b,Qwen 3 8B,8.0,flagship,Institutional-growth task,25,24,1,0,0,25,0.04,0,0,0,0,1176.36,355.62,1554.56,body_only_raw_markdown,25,25,14.76,20.76
qwen3:8b,Qwen 3 8B,8.0,wordsalad,Word salad,20,0,0,20,0,0,0,0,0,0,0,0,0,0,archived_aggregate_raw_text_unavailable,0,,0,0
qwen3:8b,Qwen 3 8B,8.0,far,Far-domain physics,20,0,0,20,0,0,0,0,0,0,0,0,0,0,archived_aggregate_raw_text_unavailable,0,,0,0
qwen3:8b,Qwen 3 8B,8.0,mid,Literary modernism,20,0,0,20,0,0,0,0,0,0,0,0,0,0,archived_aggregate_raw_text_unavailable,0,,0,0
qwen3:8b,Qwen 3 8B,8.0,near,Soviet-planning near miss,20,0,0,20,0,0,0,0,0,0,0,0,0,0,archived_aggregate_raw_text_unavailable,0,,0,0
qwen3:14b,Qwen 3 14B,14.0,flagship,Institutional-growth task,25,25,0,0,0,25,0,0,0,0,0,1018.4,154.38,1413.52,body_only_raw_markdown,25,25,14.88,19.04
qwen3:14b,Qwen 3 14B,14.0,wordsalad,Word salad,20,0,0,20,0,0,0,0,0,0,0,0,0,0,archived_aggregate_raw_text_unavailable,0,,0,0
qwen3:14b,Qwen 3 14B,14.0,far,Far-domain physics,20,0,0,20,0,0,0,0,0,0,0,0,0,0,archived_aggregate_raw_text_unavailable,0,,0,0
qwen3:14b,Qwen 3 14B,14.0,mid,Literary modernism,20,0,0,20,0,0,0,0,0,0,0,0,0,0,archived_aggregate_raw_text_unavailable,0,,0,0
qwen3:14b,Qwen 3 14B,14.0,near,Soviet-planning near miss,20,0,0,20,0,0,0,0,0,0,0,0,0,0,archived_aggregate_raw_text_unavailable,0,,0,0
